broad_sample	broad_id	plate_map_name	solvent
BRD-A74391928-051-01-3	BRD-A74391928	C-7161-01-LM6-025	DMSO
BRD-K74514084-001-03-9	BRD-K74514084	C-7161-01-LM6-025	DMSO
BRD-K74717603-001-02-2	BRD-K74717603	C-7161-01-LM6-025	DMSO
BRD-A75479906-001-02-4	BRD-A75479906	C-7161-01-LM6-025	DMSO
BRD-K75641298-003-25-0	BRD-K75641298	C-7161-01-LM6-025	DMSO
BRD-A74667430-001-23-6	BRD-A74667430	C-7161-01-LM6-025	DMSO
BRD-A75305484-001-01-3	BRD-A75305484	C-7161-01-LM6-025	DMSO
BRD-K75649340-001-13-1	BRD-K75649340	C-7161-01-LM6-025	DMSO
BRD-K76210423-001-01-6	BRD-K76210423	C-7161-01-LM6-025	DMSO
BRD-K60230970-001-10-0	BRD-K60230970	C-7161-01-LM6-025	DMSO
BRD-A82522119-001-01-7	BRD-A82522119	C-7161-01-LM6-025	DMSO
BRD-K77625799-001-07-7	BRD-K77625799	C-7161-01-LM6-025	DMSO
BRD-K76617868-003-11-9	BRD-K76617868	C-7161-01-LM6-025	DMSO
BRD-K76674262-001-03-3	BRD-K76674262	C-7161-01-LM6-025	DMSO
BRD-K77561571-001-01-1	BRD-K77561571	C-7161-01-LM6-025	DMSO
BRD-K77641333-003-27-1	BRD-K77641333	C-7161-01-LM6-025	DMSO
BRD-K77685957-300-09-1	BRD-K77685957	C-7161-01-LM6-025	DMSO
BRD-K78126613-001-28-5	BRD-K78126613	C-7161-01-LM6-025	DMSO
BRD-K78303961-001-02-3	BRD-K78303961	C-7161-01-LM6-025	DMSO
BRD-K79095980-001-09-6	BRD-K79095980	C-7161-01-LM6-025	DMSO
BRD-K78118466-001-03-3	BRD-K78118466	C-7161-01-LM6-025	DMSO
BRD-A78195072-001-06-2	BRD-A78195072	C-7161-01-LM6-025	DMSO
BRD-A78877355-001-03-0	BRD-A78877355	C-7161-01-LM6-025	DMSO
BRD-K79102359-003-01-6	BRD-K79102359	C-7161-01-LM6-025	DMSO
BRD-A79981887-003-16-4	BRD-A79981887	C-7161-01-LM6-025	DMSO
BRD-A80017228-001-25-7	BRD-A80017228	C-7161-01-LM6-025	DMSO
BRD-K73381542-003-23-4	BRD-K73381542	C-7161-01-LM6-025	DMSO
BRD-K79131256-001-17-9	BRD-K79131256	C-7161-01-LM6-025	DMSO
BRD-K79989959-001-01-4	BRD-K79989959	C-7161-01-LM6-025	DMSO
BRD-K80043866-236-01-1	BRD-K80043866	C-7161-01-LM6-025	DMSO
BRD-K73440166-001-01-3	BRD-K73440166	C-7161-01-LM6-025	DMSO
		C-7161-01-LM6-019	DMSO
BRD-K44844162-001-01-6	BRD-K44844162	C-7161-01-LM6-019	DMSO
